,Neutral Citation,Citation,Citation ID
927,2021_IECA_325,2014_IESC_21,32302
928,2021_IECA_325,2001_IESC_110,26308
937,2021_IECA_327,2020_IEHC_688,16645
938,2021_IECA_327,2013_IESC_39,19374
939,2021_IECA_327,2008_IESC_21,58394
940,2021_IECA_327,2014_IESC_3,37159
941,2021_IECA_327,2012_IESC_26,50148
942,2021_IECA_327,2012_IESC_25,56354
949,2021_IECA_328,2006_IEHC_369,37881
950,2021_IECA_328,2013_IEHC_295,9841
951,2021_IECA_328,2021_IEHC_574,2968
952,2021_IECA_328,2019_IECA_327,51315
953,2021_IECA_328,2020_IECA_307,19831
959,2021_IECA_329,2017_IECA_293,28124
960,2021_IECA_329,2021_IECA_12,4046
961,2021_IECA_329,2021_IECA_17,62991
962,2021_IECA_329,2021_IECA_171,14928
963,2021_IECA_329,2021_IECA_252,26196
964,2021_IECA_329,2020_IECA_296,4698
965,2021_IECA_329,2020_IECA_242,15398
966,2021_IECA_329,2005_IESC_17,31865
967,2021_IECA_329,2016_IECA_93,2628
968,2021_IECA_329,2015_IECA_268,35854
969,2021_IECA_329,2016_IECA_85,49556
970,2021_IECA_329,2021_IECA_62,17611
971,2021_IECA_329,2021_IECA_296,27199
972,2021_IECA_329,2005_IEHC_47,24289
987,2021_IECA_331,2015_IECA_350,30356
989,2021_IECA_332,2019_IEHC_724,16905
990,2021_IECA_332,2013_IESC_39,19374
991,2021_IECA_332,2015_IEHC_812,58626
992,2021_IECA_332,2020_IESC_3,30679
993,2021_IECA_332,2017_IEHC_556,33927
994,2021_IECA_332,2017_IECA_195,24937
995,2021_IECA_332,2016_IECA_26,12763
996,2021_IECA_332,2021_IECA_327,13132
997,2021_IECA_332,2020_IEHC_162,44862
998,2021_IECA_332,2017_IESC_7,62565
999,2021_IECA_332,2021_IESC_64,40799
1011,2021_IECA_334,2018_IEHC_266,12693
1012,2021_IECA_334,2006_IESC_52,43102
1013,2021_IECA_334,2010_UKUT_360,4184
1014,2021_IECA_334,2010_UKUT_463,52747
1015,2021_IECA_334,2012_UKUT_90,22957
1016,2021_IECA_334,2015_IESC_78,45931
1017,2021_IECA_334,2013_UKSC_15,32809
1018,2021_IECA_334,2008_IEHC_169,23996
1019,2021_IECA_334,2011_IESC_47,25620
1020,2021_IECA_334,2011_IEHC_142,20845
1021,2021_IECA_334,2016_IESC_55,3614
1022,2021_IECA_334,2019_IESC_77,59097
1035,2021_IECA_335,2021_IECA_19,35169
1036,2021_IECA_335,2015_IESC_61,16470
1037,2021_IECA_335,2008_IESC_24,42274
1038,2021_IECA_335,2007_IEHC_243,29113
1039,2021_IECA_335,2011_IESC_27,4178
1040,2021_IECA_335,2015_IESC_13,25140
1041,2021_IECA_335,2020_IESC_2,17677
1042,2021_IECA_335,2020_IEHC_178,41515
1043,2021_IECA_335,2021_IESC_24,34021
1053,2021_IECA_336,2021_IECA_204,16089
1055,2021_IECA_337,2019_IEHC_892,20731
1056,2021_IECA_337,2018_IEHC_209,57610
1057,2021_IECA_337,2018_IEHC_225,12446
1058,2021_IECA_337,2018_IEHC_366,60595
1059,2021_IECA_337,2018_IEHC_433,63723
1060,2021_IECA_337,2018_IEHC_704,10205
1061,2021_IECA_337,2019_IEHC_734,45463
1062,2021_IECA_337,2019_IEHC_783,12965
1063,2021_IECA_337,2020_IESC_62,28140
1064,2021_IECA_337,2018_EWHC_2665,46458
1065,2021_IECA_337,2021_IESC_75,51750
1066,2021_IECA_337,2017_IESC_17,62589
1067,2021_IECA_337,2012_IEHC_603,41760
1068,2021_IECA_337,2014_IESC_57,6708
1069,2021_IECA_337,2018_IECA_370,53283
